Frames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
149,,,,,,,"[392, 237]",,,,,,,,,,,,,,,,,,
150,,,,,,,"[391, 238]",,,,,,,,,,,,,,,,,,
151,,,,,,,"[415, 224]",,,,,,,,,,,,,,,,,,
152,,,,,,,"[415, 224]",,,,,,,,,,,,,,,,,,
153,,,,,,,"[439, 211]",,,,,,,,,,,,,,,,,,
154,,,,,,,"[438, 211]",,,,,,,,,,,,,,,,,,
155,,,,,,,"[459, 201]",,,,,,,,,,,,,,,,,,
156,,,,,,,"[459, 201]",,,,,,,,,,,,,,,,,,
157,,,,,,,"[477, 192]",,,,,,,,,,,,,,,,,,
158,,,,,,,"[477, 192]",,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,"[191, 261]",,,,,,,,,,,,,,,,,
166,,,,,,,,"[191, 261]",,,,,,,,,,,,,,,,,
167,,,,,,,,"[203, 254]",,,,,,,,,,,,,,,,,
168,,,,,,,,"[204, 253]",,,,,,,,,,,,,,,,,
169,,,,,,,,"[230, 238]",,,,,,,,,,,,,,,,,
170,,,,,,,,"[230, 238]",,,,,,,,,,,,,,,,,
171,,,,,,,,"[243, 232]",,,,,,,,,,,,,,,,,
172,,,,,,,,"[243, 232]",,,,,,,,,,,,,,,,,
173,,,,,,,,"[279, 213]",,,,,,,,,,,,,,,,,
174,,,,,,,,"[279, 214]",,,,,,,,,,,,,,,,,
175,,,,,,,,"[302, 203]",,,,,,,,,,,,,,,,,
176,,,,,,,,"[302, 203]",,,,,,,,,,,,,,,,,
177,,,,,,,,"[325, 193]","[199, 362]",,,,,,,,,,,,,,,,
178,,,,,,,,"[325, 193]","[200, 361]",,,,,,,,,,,,,,,,
179,,,,,,,,,"[219, 346]",,,,,,,,,,,,,,,,
180,,,,,,,,,"[220, 343]",,,,,,,,,,,,,,,,
181,,,,,,,,,"[251, 325]",,,,,,,,,,,,,,,,
182,,,,,,,,,"[251, 325]",,,,,,,,,,,,,,,,
183,,,,,,,,,"[280, 308]",,,,,,,,,,,,,,,,
184,,,,,,,,,"[280, 308]",,,,,,,,,,,,,,,,
185,,,,,,,,,"[309, 288]",,,,,,,,,,,,,,,,
186,,,,,,,,,"[308, 288]",,,,,,,,,,,,,,,,
187,,,,,,,,,"[332, 269]",,,,,,,,,,,,,,,,
188,,,,,,,,,"[333, 269]",,,,,,,,,,,,,,,,
189,,,,,,,,,"[362, 252]",,,,,,,,,,,,,,,,
190,,,,,,,,,"[362, 252]",,,,,,,,,,,,,,,,
191,,,,,,,,,"[387, 236]",,,,,,,,,,,,,,,,
192,,,,,,,,,"[387, 236]",,,,,,,,,,,,,,,,
193,,,,,,,,,"[411, 222]",,,,,,,,,,,,,,,,
194,,,,,,,,,"[411, 222]",,,,,,,,,,,,,,,,
195,,,,,,,,,"[433, 210]",,,,,,,,,,,,,,,,
196,,,,,,,,,"[433, 210]",,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,"[181, 362]",,,,,,,,,,,,,,,
206,,,,,,,,,,"[181, 362]",,,,,,,,,,,,,,,
207,,,,,,,,,,"[199, 347]",,,,,,,,,,,,,,,
208,,,,,,,,,,"[197, 350]",,,,,,,,,,,,,,,
209,,,,,,,,,,"[214, 337]",,,,,,,,,,,,,,,
210,,,,,,,,,,"[214, 336]",,,,,,,,,,,,,,,
211,,,,,,,,,,"[240, 315]",,,,,,,,,,,,,,,
212,,,,,,,,,,"[240, 315]",,,,,,,,,,,,,,,
213,,,,,,,,,,"[278, 292]",,,,,,,,,,,,,,,
214,,,,,,,,,,"[278, 292]",,,,,,,,,,,,,,,
215,,,,,,,,,,"[304, 277]",,,,,,,,,,,,,,,
216,,,,,,,,,,"[304, 277]",,,,,,,,,,,,,,,
217,,,,,,,,,,"[333, 260]",,,,,,,,,,,,,,,
218,,,,,,,,,,"[333, 260]",,,,,,,,,,,,,,,
219,,,,,,,,,,"[357, 245]",,,,,,,,,,,,,,,
220,,,,,,,,,,"[357, 245]",,,,,,,,,,,,,,,
221,,,,,,,,,,"[379, 230]",,,,,,,,,,,,,,,
222,,,,,,,,,,"[379, 230]",,,,,,,,,,,,,,,
223,,,,,,,,,,"[404, 217]",,,,,,,,,,,,,,,
224,,,,,,,,,,"[404, 217]",,,,,,,,,,,,,,,
225,,,,,,,,,,"[428, 204]",,,,,,,,,,,,,,,
226,,,,,,,,,,"[427, 204]",,,,,,,,,,,,,,,
227,,,,,,,,,,"[446, 195]","[189, 288]",,,,,,,,,,,,,,
228,,,,,,,,,,"[446, 195]","[189, 288]",,,,,,,,,,,,,,
229,,,,,,,,,,,"[203, 278]",,,,,,,,,,,,,,
230,,,,,,,,,,,"[203, 278]",,,,,,,,,,,,,,
231,,,,,,,,,,,"[219, 266]",,,,,,,,,,,,,,
232,,,,,,,,,,,"[219, 266]",,,,,,,,,,,,,,
233,,,,,,,,,,,"[248, 251]",,,,,,,,,,,,,,
234,,,,,,,,,,,"[248, 251]",,,,,,,,,,,,,,
235,,,,,,,,,,,"[276, 237]",,,,,,,,,,,,,,
236,,,,,,,,,,,"[276, 237]",,,,,,,,,,,,,,
237,,,,,,,,,,,"[303, 224]",,,,,,,,,,,,,,
238,,,,,,,,,,,"[303, 224]",,,,,,,,,,,,,,
239,,,,,,,,,,,"[328, 212]",,,,,,,,,,,,,,
240,,,,,,,,,,,"[352, 202]",,,,,,,,,,,,,,
241,,,,,,,,,,,"[352, 202]",,,,,,,,,,,,,,
242,,,,,,,,,,,"[374, 193]",,,,,,,,,,,,,,
243,,,,,,,,,,,"[374, 193]",,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,"[181, 350]",,,,,,,,,,,,,
289,,,,,,,,,,,,"[181, 350]",,,,,,,,,,,,,
290,,,,,,,,,,,,"[194, 338]",,,,,,,,,,,,,
291,,,,,,,,,,,,"[194, 338]",,,,,,,,,,,,,
292,,,,,,,,,,,,"[208, 326]",,,,,,,,,,,,,
293,,,,,,,,,,,,"[208, 326]",,,,,,,,,,,,,
294,,,,,,,,,,,,"[220, 315]",,,,,,,,,,,,,
295,,,,,,,,,,,,"[220, 315]",,,,,,,,,,,,,
296,,,,,,,,,,,,"[235, 301]",,,,,,,,,,,,,
297,,,,,,,,,,,,"[235, 301]",,,,,,,,,,,,,
298,,,,,,,,,,,,"[259, 283]",,,,,,,,,,,,,
299,,,,,,,,,,,,"[259, 284]",,,,,,,,,,,,,
300,,,,,,,,,,,,"[284, 268]",,,,,,,,,,,,,
301,,,,,,,,,,,,"[284, 268]",,,,,,,,,,,,,
302,,,,,,,,,,,,"[309, 253]",,,,,,,,,,,,,
303,,,,,,,,,,,,"[309, 253]",,,,,,,,,,,,,
304,,,,,,,,,,,,"[334, 240]",,,,,,,,,,,,,
305,,,,,,,,,,,,"[334, 240]",,,,,,,,,,,,,
306,,,,,,,,,,,,"[356, 227]",,,,,,,,,,,,,
307,,,,,,,,,,,,"[356, 227]",,,,,,,,,,,,,
308,,,,,,,,,,,,"[377, 216]",,,,,,,,,,,,,
309,,,,,,,,,,,,"[377, 216]",,,,,,,,,,,,,
310,,,,,,,,,,,,"[397, 206]",,,,,,,,,,,,,
311,,,,,,,,,,,,"[397, 206]",,,,,,,,,,,,,
312,,,,,,,,,,,,"[415, 196]",,,,,,,,,,,,,
313,,,,,,,,,,,,"[415, 196]",,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,"[187, 352]",,,,,,,,,,,,
353,,,,,,,,,,,,,"[187, 352]",,,,,,,,,,,,
354,,,,,,,,,,,,,"[201, 338]",,,,,,,,,,,,
355,,,,,,,,,,,,,"[200, 339]",,,,,,,,,,,,
356,,,,,,,,,,,,,"[215, 326]",,,,,,,,,,,,
357,,,,,,,,,,,,,"[215, 326]",,,,,,,,,,,,
358,,,,,,,,,,,,,"[237, 310]",,,,,,,,,,,,
359,,,,,,,,,,,,,"[237, 310]",,,,,,,,,,,,
360,,,,,,,,,,,,,"[266, 292]",,,,,,,,,,,,
361,,,,,,,,,,,,,"[266, 291]",,,,,,,,,,,,
362,,,,,,,,,,,,,"[295, 275]",,,,,,,,,,,,
363,,,,,,,,,,,,,"[295, 275]",,,,,,,,,,,,
364,,,,,,,,,,,,,"[322, 259]",,,,,,,,,,,,
365,,,,,,,,,,,,,"[322, 259]",,,,,,,,,,,,
366,,,,,,,,,,,,,"[345, 244]",,,,,,,,,,,,
367,,,,,,,,,,,,,"[345, 244]",,,,,,,,,,,,
368,,,,,,,,,,,,,"[368, 231]",,,,,,,,,,,,
369,,,,,,,,,,,,,"[368, 231]",,,,,,,,,,,,
370,,,,,,,,,,,,,"[390, 219]",,,,,,,,,,,,
371,,,,,,,,,,,,,"[390, 219]",,,,,,,,,,,,
372,,,,,,,,,,,,,"[410, 208]",,,,,,,,,,,,
373,,,,,,,,,,,,,"[410, 208]",,,,,,,,,,,,
374,,,,,,,,,,,,,"[427, 199]",,,,,,,,,,,,
375,,,,,,,,,,,,,"[427, 199]",,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,"[189, 358]",,,,,,,,,,,
393,,,,,,,,,,,,,,"[190, 357]",,,,,,,,,,,
394,,,,,,,,,,,,,,"[206, 341]",,,,,,,,,,,
395,,,,,,,,,,,,,,"[206, 341]",,,,,,,,,,,
